bond
t-t,20000,0.335,
t-sq,6000,0.286,
t-s,20000,0.330,
t-pq,7000,0.296,
t-p,3000,0.303,
sq-t,6000,0.342,
sq-s,5000,0.357,
s-t,20000,0.360,
s-sq,5000,0.357,
s-s,10000,0.364,
s-pq,5000,0.360,
s-p,12000,0.376,
angle,
t-t-t,100,132,
t-t-p,50,145,
t-s-s,500,152,
sq-t-t,20,91,
sq-s-t,20,159,
s-t-t,200,138,
s-t-pq,50,145,
s-sq-s,20,168,
s-s-s,500,180,
t-t-s,50,157,
t-sq-s,20,134,
t-s-pq,200,180,
sq-t-s,50,125,
sq-s-sq,20,121,
s-t-sq,200,133,
s-t-p,30,180,
s-s-t,500,180,
s-s-pq,200,180,
t-t-pq,100,128,
t-s-sq,70,151,
t-s-p,200,180,
sq-t-pq,200,120,
sq-s-s,50,141,
s-t-s,100,154,
s-sq-t,20,141,
s-s-sq,200,180,
Nt-t-t,1700,79,
Nt-t-s,1000,68,
Ns-t-t,1000,68,
Ns-t-pq,2000,80,
Npq-t-s,2000,80,
Np-t-s,100,50,
Nsq-t-sq,100,87,
Ns-t-p,100,50,
Ns-t-s,700,88,
dihedral,
t-t-t-s,
180,0.7611,1,
90,1.5556,1,
180,1.18076,2,
-90,1.59562,2,
0,0.85896,3,
90,1.10652,3,
0,0.35776,4,
90,2.429,4,
0,0.28804,5,
90,1.25512,5,
0,0.37902,6,
90,0.51536,6,
t-t-t-pq,
180,5.005,1,
-90,1.058,1,
180,2.794,2,
-90,1.124,2,
180,1.061,3,
-90,0.6954,3,
180,0.1284,4,
-90,0.2789,4,
t-sq-s-s,
0,0.1789,1,
90,0.6414,1,
0,0.04005,2,
90,0.1861,2,
0,0.00052,3,
90,0.287,3,
0,0.1764,4,
90,0.3615,4,
t-s-s-s,
0,0.9592,1,
-90,0.3031,1,
0,0.07864,2,
-90,0.3132,2,
180,0.00904,3,
-90,0.1049,3,
180,0.08386,4,
-90,0.03749,4,
sq-s-t-sq,
180,0.275,1,
-90,0.117,1,
0,0.2408,2,
-90,0.05002,2,
0,0.2305,3,
-90,0.09074,3,
0,0.2816,4,
-90,0.04807,4,
sq-s-s-s,
180,0.578,1,
90,0.5483,1,
0,0.02419,2,
90,0.06867,2,
0,0.07933,3,
-90,0.04552,3,
180,0.00144,4,
-90,0.0156,4,
s-t-t-p,
180,4.771,1,
-90,2.489,1,
180,1.36,2,
90,0.06439,2,
180,1.346,3,
90,0.9888,3,
180,0.5621,4,
90,0.05767,4,
s-t-s-p,
180,3.269,1,
-90,2.217,1,
180,0.6888,2,
-90,0.6913,2,
0,0.09744,3,
-90,0.8553,3,
180,0.2292,4,
-90,0.3393,4,
s-sq-s-sq,
0,0.01675,1,
90,0.00732,1,
0,0.2463,2,
90,0.1003,2,
0,0.06287,3,
90,0.07754,3,
180,0.00352,4,
-90,0.01123,4,
s-s-t-p,
180,1.481,1,
-90,2.452,1,
180,0.6452,2,
-90,0.1292,2,
0,0.01608,3,
90,0.193,3,
180,0.02013,4,
-90,0.05453,4,
s-s-s-s,
0,0.07194,1,
-90,0.03906,1,
0,0.1423,2,
-90,0.07014,2,
0,0.07076,3,
-90,0.03901,3,
180,0.02093,4,
90,0.07606,4,
Nt-t-s-pq,
0,2.454,1,
90,1.146,1,
180,0.3954,2,
-90,0.2008,2,
180,0.08704,3,
90,0.3218,3,
180,0.306,4,
-90,0.01641,4,
Ns-t-t-p,
0,1.7,1,0,
-90,0.50968,1,
0,4.214,2,
90,0.04158,2,
180,0.00686,3,
90,1.12014,3,
180,0.35091,4,
90,0.36246,4,
Npq-t-s-pq,
0,2.922,1,
90,1.656,1,
180,0.4585,2,
-90,0.3462,2,
180,0.07853,3,
90,0.3462,3,
180,0.1724,4,
90,0.1287,4,
sq-t-t-s,
180,0.6084,1,
90,0.5301,1,
0,0.8167,2,
90,0.2646,2,
0,0.2556,3,
90,0.491,3,
180,0.07,4,
90,0.8255,4,
180,0.3319,5,
-90,0.4926,5,
t-t-t-p,
180,0.575,1,
90,3.14347,1,
0,3.5126,2,
90,1.37915,2,
180,0.59154,3,
-90,1.0108,3,
180,1.5454,4,
90,0.56349,4,
t-s-sq-t,
180,0.5667,1,
-90,0.2793,1,
0,0.13,2,
-90,0.6036,2,
180,0.00712,3,
-90,0.02012,3,
0,0.04612,4,
-90,0.05911,4,
sq-t-t-t,
180,2.624,1,
90,2.487,1,
180,0.3305,2,
-90,1.375,2,
0,1.151,3,
90,0.6597,3,
0,0.9143,4,
90,0.9613,4,
sq-s-t-s,
180,0.2602,1,
90,0.43,1,
0,0.3921,2,
90,0.0492,2,
0,0.08434,3,
90,0.346,3,
180,0.2742,4,
90,0.1182,4,
sq-s-s-pq,
180,0.2917,1,
-90,0.08782,1,
180,0.1641,2,
-90,0.09495,2,
0,0.04617,3,
90,0.01113,3,
180,0.01469,4,
-90,0.07517,4,
s-t-sq-s,
180,0.5226,1,
-90,0.589,1,
0,0.3605,2,
-90,0.4849,2,
0,0.1488,3,
90,0.01395,3,
180,0.2104,4,
90,0.03304,4,
s-sq-t-s,
0,0.0455,1,
-90,0.01309,1,
0,0,2,0,
90,0.07727,2,
0,0.4454,3,
-90,0.1521,3,
0,0.03718,4,
-90,0.05089,4,
s-sq-s-s,
180,0.5089,1,
90,0.1826,1,
180,0.2,2,
-90,0.116,2,
0,0.1657,3,
-90,0.1259,3,
180,0.05827,4,
90,0.00657,4,
s-s-sq-s,
180,1.206,1,
90,0.8237,1,
0,0.1526,2,
-90,0.3173,2,
180,0.00028,3,
90,0.06832,3,
0,0.156,4,
90,0.07099,4,
s-s-s-pq,
180,0.1214,1,
90,0.2415,1,
180,0.1527,2,
90,0.1075,2,
180,0.1189,3,
90,0.1045,3,
180,0.02334,4,
-90,0.04644,4,
Nsq-t-sq-s,
0,1.972,1,
-90,0.8696,1,
0,1.055,2,
-90,0.6807,2,
180,0.09864,3,
-90,0.04226,3,
180,0.3563,4,
-90,0.3498,4,
Ns-t-s-s,
3.456,1,0,
90,0.8971,1,
180,1.431,2,
-90,0.3018,2,
0,0.2482,3,
-90,0.2842,3,
180,0.215,4,
-90,0.08677,4,
Npq-t-s-p,
0,3.892,1,
90,1.224,1,
180,1.51,2,
-90,0.03169,2,
0,0.8277,3,
-90,0.00439,3,
180,0.2952,4,
90,0.3258,4,
Nt-t-t-t,
0,1.516,1,
90,0.1462,1,
180,0.1592,2,
-90,1.787,2,
0,1.35744,3,
-90,2.6552,3,
180,0.73934,4,
90,1.357,4,
180,0.84582,5,
90,0.481,5,
0,0.71588,6,
-90,0.74564,6,
t-t-s-pq,
180,2.273,1,
-90,0.1678,1,
180,0.323,2,
-90,0.146,2,
0,0.1812,3,
90,0.04275,3,
0,0.1086,4,
90,0.0268,4,
t-s-sq-s,
180,0.03045,1,
-90,0.09518,1,
0,0.834,2,
-90,0.2247,2,
0,0.05384,3,
90,0.03155,3,
180,0.08784,4,
-90,0.05518,4,
sq-t-t-pq,
180,3.967,1,
-90,4.394,1,
0,0.1698,2,
-90,0.8341,2,
180,0.8689,3,
90,0.918,3,
180,0.5322,4,
90,0.1127,4,
sq-s-t-pq,
180,0.1808,1,
-90,0.4601,1,
0,0.05521,2,
90,0.1435,2,
0,0.508,3,
-90,0.1165,3,
180,0.08161,4,
90,0.03025,4,
s-t-t-t,
180,6.07634,1,
-90,4.39625,1,
180,1.1485,2,
-90,0.12722,2,
180,2.13296,3,
90,1.08089,3,
180,0.72975,4,
-90,0.70235,4,
s-t-s-s,
180,4.958,1,
-90,0.4269,1,
180,0.7339,2,
-90,0.05046,2,
0,0.3602,3,
90,0.612,3,
180,0.0559,4,
90,0.3238,4,
s-sq-t-pq,
180,0.4716,1,
-90,0.166,1,
0,0.3157,2,
